Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT0, RST",SW_SPST_B3U-1000P,2,SW_Push,
C1,0402,1,.1nF,
"C10, C18",0603,2,4.7uF,
"C12, C17",0603,2,22u,
"C13, C14, C15, C16",0402,4,.1u,
"C2, C4, C5, C6, C7",0402,5,.1uF,
C3,0603,1,1uF,
"C8, C9",0402,2,10p,
D1,0402,1,G,
D2,0402,1,R,
I2C1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Pin,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
PWM1,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06_Pin,
"R1, R2",0402,2,2k2,
"R3, R4",0402,2,10k,
"R5, R6",0402,2,1k,
"R7, R8",0402,2,5k1,
SWD,Conn_0x08,1,Conn_01x08_Pin,
U1,SOT-323_SC-70,1,TPD2E2U06DCK,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,Bosch_LGA-14_3x2.5mm_P0.5mm,1,BMI160,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F401RBT6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16M,
