Designator,Mid X,Mid Y,Rotation,Layer
BOOT0,48.92,-81.62,270.0,top
C1,53.21,-81.79,0.0,top
C10,64.63,-61.74,270.0,top
C12,62.8,-72.77,180.0,top
C13,62.84,-74.13,180.0,top
C14,49.9,-60.08,270.0,top
C15,52.8,-72.54,180.0,top
C16,62.02,-82.61,0.0,top
C17,61.95,-83.85,0.0,top
C18,59.29,-72.84,0.0,top
C2,61.24,-71.22,0.0,top
C3,47.56,-67.27,270.0,top
C4,52.59,-58.0,0.0,top
C5,48.83,-67.31,270.0,top
C6,63.33,-61.79,270.0,top
C7,55.16,-81.78,180.0,top
C8,45.54,-60.43,0.0,top
C9,45.41,-65.8,0.0,top
D1,48.465,-61.88,180.0,top
D2,67.2775,-80.79,0.0,top
I2C1,50.47,-53.29,180.0,top
J1,72.57,-67.37,90.0,top
PWM1,63.32,-53.33,180.0,top
R1,49.49,-57.11,180.0,top
R2,50.95,-57.56,270.0,top
R3,50.23,-79.26,180.0,top
R4,54.36,-57.5,90.0,top
R5,68.9,-79.21,270.0,top
R6,48.01,-60.35,270.0,top
R7,66.78,-68.63,0.0,top
R8,67.24,-65.11,270.0,top
RST,48.95,-76.9,90.0,top
SWD,42.02,-80.6,0.0,top
U1,65.07,-66.32,270.0,top
U2,61.53,-78.4925,0.0,top
U3,54.14,-79.6375,90.0,top
U4,56.11,-65.28,270.0,top
Y1,45.58,-63.08,270.0,top
